,Unnamed: 0,eveWaveTime,mornWaveTime,hour,hour1,date
110,1,-1 days +23:54:00,0 days 00:32:00,-0.1,0.533,12月22日
111,1,0 days 01:12:00,0 days 00:35:00,1.2,0.583,12月23日
112,1,0 days 00:07:00,0 days 01:20:00,0.117,1.333,12月24日
113,1,0 days 00:49:00,0 days 00:37:00,0.817,0.617,12月25日
114,1,0 days 01:00:00,0 days 00:51:00,1,0.85,12月26日
115,1,0 days 00:35:00,0 days 00:15:00,0.583,0.25,12月27日
116,1,0 days 00:40:00,0 days 00:52:00,0.667,0.867,12月28日
117,1,0 days 00:50:00,0 days 01:11:00,0.833,1.183,12月29日
118,1,0 days 01:57:00,0 days 02:09:00,1.95,2.15,12月30日
119,1,0 days 01:30:00,0 days 01:20:00,1.5,1.333,12月31日
120,1,0 days 01:40:00,0 days 01:00:00,1.667,1,1月1日
121,1,0 days 01:00:00,0 days 01:00:00,1,1,1月2日
122,1,0 days 00:00:00,0 days 00:28:00,0,0.467,1月3日
123,1,0 days 00:47:00,0 days 00:19:00,0.783,0.317,1月4日
124,1,0 days 01:13:00,0 days 00:08:00,1.217,0.133,1月5日
125,1,0 days 00:00:00,0 days 00:20:00,0,0.333,1月6日
126,1,0 days 00:35:00,0 days 00:38:00,0.583,0.633,1月7日
127,1,0 days 00:55:00,0 days 00:35:00,0.917,0.583,1月8日
128,1,0 days 00:10:00,0 days 00:37:00,0.167,0.617,1月9日
129,1,0 days 00:45:00,0 days 00:55:00,0.75,0.917,1月10日
130,1,0 days 00:05:00,0 days 00:27:00,0.083,0.45,1月11日
131,1,0 days 01:40:00,0 days 00:53:00,1.667,0.883,1月12日
132,1,0 days 00:03:00,0 days 00:37:00,0.05,0.617,1月13日
133,1,0 days 00:47:00,0 days 00:58:00,0.783,0.967,1月14日
134,1,0 days 01:00:00,0 days 01:05:00,1,1.083,1月15日
135,1,0 days 02:00:00,0 days 02:00:00,2,2,1月16日
136,1,0 days 01:30:00,0 days 02:00:00,1.5,2,1月17日
137,1,0 days 00:50:00,0 days 00:25:00,0.833,0.417,1月18日
138,1,0 days 00:35:00,-1 days +23:55:00,0.583,-0.083,1月19日
139,1,0 days 00:25:00,0 days 01:50:00,0.417,1.833,1月21日
140,1,0 days 00:32:00,-1 days +23:46:00,0.533,-0.233,1月22日
141,1,0 days 00:33:00,0 days 00:54:00,0.55,0.9,1月23日
142,1,0 days 00:57:00,0 days 00:42:00,0.95,0.7,1月24日
143,1,0 days 00:42:00,0 days 00:53:00,0.7,0.883,1月25日
144,1,0 days 01:11:00,0 days 01:05:00,1.183,1.083,1月26日
145,1,0 days 01:05:00,0 days 00:55:00,1.083,0.917,1月27日
146,1,0 days 00:40:00,0 days 00:25:00,0.667,0.417,1月28日
147,1,0 days 02:25:00,0 days 01:40:00,2.417,1.667,1月29日
148,1,0 days 01:35:00,0 days 01:35:00,1.583,1.583,1月30日
149,1,0 days 01:00:00,0 days 01:25:00,1,1.417,1月31日
150,1,0 days 00:00:00,0 days 00:28:00,0,0.467,2月1日
151,1,0 days 01:00:00,0 days 00:29:00,1,0.483,2月2日
152,1,0 days 00:30:00,0 days 00:18:00,0.5,0.3,2月3日
153,1,0 days 00:10:00,-1 days +23:45:00,0.167,-0.25,2月4日
154,1,0 days 01:18:00,0 days 01:38:00,1.3,1.633,2月5日
155,1,0 days 00:12:00,0 days 00:13:00,0.2,0.217,2月6日
156,1,0 days 00:20:00,0 days 00:44:00,0.333,0.733,2月7日
157,1,0 days 00:11:00,0 days 00:28:00,0.183,0.467,2月8日
158,1,0 days 00:38:00,0 days 00:32:00,0.633,0.533,2月9日
