,Unnamed: 0,eveWaveTime,mornWaveTime,sec,sec2
108,1.0,-1 days +23:55:00,-1 days +23:40:00,-0.083,-0.333
109,1.0,0 days 00:23:00,0 days 00:26:00,0.383,0.433
110,1.0,-1 days +23:54:00,0 days 00:39:00,-0.1,0.65
111,1.0,0 days 01:15:00,0 days 00:32:00,1.25,0.533
112,1.0,0 days 00:04:00,0 days 01:20:00,0.067,1.333
113,1.0,0 days 00:50:00,0 days 00:37:00,0.833,0.617
114,1.0,0 days 00:59:00,0 days 00:46:00,0.983,0.767
115,1.0,0 days 00:32:00,0 days 00:10:00,0.533,0.167
116,1.0,0 days 00:30:00,0 days 00:45:00,0.5,0.75
117,1.0,0 days 00:58:00,0 days 01:22:00,0.967,1.367
118,1.0,0 days 02:00:00,0 days 02:08:00,2.0,2.133
119,1.0,0 days 01:29:00,0 days 01:29:00,1.483,1.483
120,1.0,0 days 01:51:00,0 days 01:01:00,1.85,1.017
121,1.0,0 days 01:00:00,0 days 01:00:00,1.0,1.0
122,1.0,0 days 00:00:00,0 days 00:26:00,0.0,0.433
123,1.0,0 days 00:44:00,0 days 00:18:00,0.733,0.3
124,1.0,0 days 01:16:00,0 days 00:05:00,1.267,0.083
125,1.0,-1 days +23:49:00,0 days 00:11:00,-0.183,0.183
126,1.0,0 days 00:38:00,0 days 00:41:00,0.633,0.683
127,1.0,0 days 00:57:00,0 days 00:31:00,0.95,0.517
128,1.0,0 days 00:04:00,0 days 00:45:00,0.067,0.75
129,1.0,0 days 00:50:00,0 days 00:57:00,0.833,0.95
130,1.0,0 days 00:01:00,0 days 00:21:00,0.017,0.35
131,1.0,0 days 01:43:00,0 days 01:00:00,1.717,1.0
132,1.0,-1 days +23:59:00,0 days 00:28:00,-0.017,0.467
133,1.0,0 days 00:58:00,0 days 01:11:00,0.967,1.183
134,1.0,0 days 01:01:00,0 days 01:11:00,1.017,1.183
135,1.0,0 days 02:00:00,0 days 02:00:00,2.0,2.0
136,1.0,0 days 01:30:00,0 days 02:00:00,1.5,2.0
137,1.0,0 days 00:54:00,0 days 00:29:00,0.9,0.483
138,1.0,0 days 00:30:00,-1 days +23:50:00,0.5,-0.167
139,1.0,0 days 00:10:00,0 days 01:35:00,0.167,1.583
140,1.0,0 days 00:35:00,-1 days +23:51:00,0.583,-0.15
141,1.0,0 days 00:40:00,0 days 00:49:00,0.667,0.817
142,1.0,0 days 00:50:00,0 days 00:38:00,0.833,0.633
143,1.0,0 days 00:40:00,0 days 00:56:00,0.667,0.933
144,1.0,0 days 01:14:00,0 days 01:03:00,1.233,1.05
145,1.0,0 days 01:06:00,0 days 00:58:00,1.1,0.967
146,1.0,0 days 00:45:00,0 days 00:30:00,0.75,0.5
147,1.0,0 days 02:10:00,0 days 01:26:00,2.167,1.433
148,1.0,0 days 01:46:00,0 days 01:50:00,1.767,1.833
149,1.0,0 days 01:10:00,0 days 01:30:00,1.167,1.5
150,1.0,0 days 00:00:00,0 days 00:26:00,0.0,0.433
151,1.0,0 days 00:57:00,0 days 00:26:00,0.95,0.433
152,1.0,0 days 00:27:00,0 days 00:15:00,0.45,0.25
153,1.0,0 days 00:16:00,-1 days +23:53:00,0.267,-0.117
154,1.0,0 days 01:10:00,0 days 01:30:00,1.167,1.5
155,1.0,0 days 00:09:00,0 days 00:09:00,0.15,0.15
156,1.0,0 days 00:15:00,0 days 00:40:00,0.25,0.667
157,1.0,0 days 00:10:00,0 days 00:29:00,0.167,0.483
158,1.0,0 days 00:41:00,0 days 00:34:00,0.683,0.567
